Wilayah;Tahun;Persentase Rumah Tangga dengan Akses Air Minum Layak
Bandung;2019;97,84
Bandung;2020;95,87
Bandung;2021;99,07
Bandung;2022;93,79
Bandung;2023;95,73
Bandung Barat;2019;92,17
Bandung Barat;2020;93,26
Bandung Barat;2021;92,47
Bandung Barat;2022;86,6
Bandung Barat;2023;92,27
Bekasi;2019;96,07
Bekasi;2020;98,23
Bekasi;2021;95,02
Bekasi;2022;94,86
Bekasi;2023;96,95
Bogor;2019;91,02
Bogor;2020;92,13
Bogor;2021;91,83
Bogor;2022;92,28
Bogor;2023;91,9
Ciamis;2019;82,8
Ciamis;2020;89,4
Ciamis;2021;90,12
Ciamis;2022;93,8
Ciamis;2023;94,39
Cianjur;2019;81,5
Cianjur;2020;82,73
Cianjur;2021;86,25
Cianjur;2022;80,79
Cianjur;2023;85,65
Cirebon;2019;95,55
Cirebon;2020;96,12
Cirebon;2021;96,54
Cirebon;2022;94,99
Cirebon;2023;98,52
Garut;2019;84,17
Garut;2020;81,86
Garut;2021;77,35
Garut;2022;78,15
Garut;2023;81,13
Indramayu;2019;95,25
Indramayu;2020;98,14
Indramayu;2021;97,95
Indramayu;2022;95,25
Indramayu;2023;97,77
Karawang;2019;95,84
Karawang;2020;97,62
Karawang;2021;96,63
Karawang;2022;98,19
Karawang;2023;98,11
Kota Bandung;2019;98,55
Kota Bandung;2020;98,43
Kota Bandung;2021;99,51
Kota Bandung;2022;99,03
Kota Bandung;2023;97,67
Kota Banjar;2019;95,67
Kota Banjar;2020;98,88
Kota Banjar;2021;97,21
Kota Banjar;2022;97,67
Kota Banjar;2023;94,34
Kota Bekasi;2019;99,26
Kota Bekasi;2020;99,74
Kota Bekasi;2021;100
Kota Bekasi;2022;98,28
Kota Bekasi;2023;98,77
Kota Bogor;2019;98,75
Kota Bogor;2020;99,02
Kota Bogor;2021;98,14
Kota Bogor;2022;98,73
Kota Bogor;2023;99,61
Kota Cimahi;2019;98,05
Kota Cimahi;2020;99,04
Kota Cimahi;2021;97,93
Kota Cimahi;2022;97,81
Kota Cimahi;2023;97,36
Kota Cirebon;2019;99,79
Kota Cirebon;2020;99,36
Kota Cirebon;2021;99,34
Kota Cirebon;2022;99,05
Kota Cirebon;2023;99,57
Kota Depok;2019;99,01
Kota Depok;2020;100
Kota Depok;2021;99,52
Kota Depok;2022;99,44
Kota Depok;2023;99,56
Kota Sukabumi;2019;97,6
Kota Sukabumi;2020;96,84
Kota Sukabumi;2021;98,37
Kota Sukabumi;2022;97,82
Kota Sukabumi;2023;98,74
Kota Tasikmalaya;2019;95,76
Kota Tasikmalaya;2020;94,17
Kota Tasikmalaya;2021;94,4
Kota Tasikmalaya;2022;96,81
Kota Tasikmalaya;2023;95,84
Kuningan;2019;94,26
Kuningan;2020;93,37
Kuningan;2021;94,4
Kuningan;2022;95,51
Kuningan;2023;96,57
Majalengka;2019;97,95
Majalengka;2020;97,19
Majalengka;2021;96,8
Majalengka;2022;95,7
Majalengka;2023;93,38
Pangandaran;2019;83,65
Pangandaran;2020;90,91
Pangandaran;2021;80,78
Pangandaran;2022;84,14
Pangandaran;2023;82,95
Purwakarta;2019;82,34
Purwakarta;2020;80,37
Purwakarta;2021;81,5
Purwakarta;2022;92,59
Purwakarta;2023;85,4
Subang;2019;98,33
Subang;2020;97,78
Subang;2021;98,75
Subang;2022;98,01
Subang;2023;99,22
Sukabumi;2019;79,57
Sukabumi;2020;79,98
Sukabumi;2021;81,34
Sukabumi;2022;85,7
Sukabumi;2023;85,72
Sumedang;2019;89,77
Sumedang;2020;94,96
Sumedang;2021;94,16
Sumedang;2022;95,84
Sumedang;2023;95,42
Tasikmalaya;2019;76,18
Tasikmalaya;2020;85,17
Tasikmalaya;2021;85,26
Tasikmalaya;2022;89,35
Tasikmalaya;2023;89,03
Jawa Barat;2019;92,3
Jawa Barat;2020;93,42
Jawa Barat;2021;93,24
Jawa Barat;2022;93,04
Jawa Barat;2023;93,86
Indonesia;2019;89,27
Indonesia;2020;90,21
Indonesia;2021;90,78
Indonesia;2022;91,05
Indonesia;2023;91,72
