Wilayah;Tahun;Perkotaan_Perdesaan;Kondisi;Status;total_WERT
Bandung;2021;Perdesaan;Berasa;Ya;1,801605582
Bandung;2022;Perdesaan;Berasa;Ya;193,5528728
Bandung;2019;Perkotaan;Berasa;Ya;7578,43634
Bandung;2020;Perkotaan;Berasa;Ya;9909,85199
Bandung;2021;Perkotaan;Berasa;Ya;864,3305664
Bandung;2022;Perkotaan;Berasa;Ya;2111,907468
Bandung;2023;Perkotaan;Berasa;Ya;4308,186484
Bandung;2019;Perdesaan;Berasa;Tidak;42695,0006
Bandung;2020;Perdesaan;Berasa;Tidak;41490,60728
Bandung;2021;Perdesaan;Berasa;Tidak;19667,02826
Bandung;2022;Perdesaan;Berasa;Tidak;18628,97955
Bandung;2023;Perdesaan;Berasa;Tidak;13398,33873
Bandung;2019;Perkotaan;Berasa;Tidak;970177,065
Bandung;2020;Perkotaan;Berasa;Tidak;992981,3146
Bandung;2021;Perkotaan;Berasa;Tidak;1064073,17
Bandung;2022;Perkotaan;Berasa;Tidak;1015331,888
Bandung;2023;Perkotaan;Berasa;Tidak;959225,2914
Bandung;2020;Perdesaan;Berbau;Ya;875,6845093
Bandung;2021;Perdesaan;Berbau;Ya;1,801605582
Bandung;2023;Perdesaan;Berbau;Ya;26,55750723
Bandung;2019;Perkotaan;Berbau;Ya;27819,15295
Bandung;2020;Perkotaan;Berbau;Ya;7196,81134
Bandung;2021;Perkotaan;Berbau;Ya;864,3305664
Bandung;2022;Perkotaan;Berbau;Ya;7125,495798
Bandung;2023;Perkotaan;Berbau;Ya;3007,390987
Bandung;2019;Perdesaan;Berbau;Tidak;42695,0006
Bandung;2020;Perdesaan;Berbau;Tidak;40614,92278
Bandung;2021;Perdesaan;Berbau;Tidak;19667,02826
Bandung;2022;Perdesaan;Berbau;Tidak;18822,53242
Bandung;2023;Perdesaan;Berbau;Tidak;13371,78122
Bandung;2019;Perkotaan;Berbau;Tidak;949936,3484
Bandung;2020;Perkotaan;Berbau;Tidak;995694,3552
Bandung;2021;Perkotaan;Berbau;Tidak;1064073,17
Bandung;2022;Perkotaan;Berbau;Tidak;1010318,3
Bandung;2023;Perkotaan;Berbau;Tidak;960526,0869
Bandung;2019;Perkotaan;Berbusa;Ya;3795,443542
Bandung;2020;Perkotaan;Berbusa;Ya;1635,706909
Bandung;2022;Perkotaan;Berbusa;Ya;2505,409095
Bandung;2023;Perkotaan;Berbusa;Ya;3007,390987
