Wilayah;Tahun;Perkotaan_Perdesaan;Sumber_Air;Total_WERT
Bandung;2019;Perdesaan;Air isi ulang;14057,7682
Bandung;2019;Perkotaan;Air isi ulang;508779,0929
Bandung;2019;Perdesaan;Air kemasan bermerk;2661,491371
Bandung;2019;Perkotaan;Air kemasan bermerk;69358,70529
Bandung;2019;Perdesaan;Leding;1480,248291
Bandung;2019;Perkotaan;Leding;56323,87415
Bandung;2019;Perkotaan;Mata air tak terlindung;6318,340698
Bandung;2019;Perdesaan;Mata air terlindung;9940,775951
Bandung;2019;Perkotaan;Mata air terlindung;95068,47705
Bandung;2019;Perdesaan;Sumur bor/pompa;4970,23736
Bandung;2019;Perkotaan;Sumur bor/pompa;129400,645
Bandung;2019;Perkotaan;Sumur tak terlindung;1937,716797
Bandung;2019;Perdesaan;Sumur terlindung;9584,479424
Bandung;2019;Perkotaan;Sumur terlindung;110568,6494
Bandung;2020;Perdesaan;Air isi ulang;10307,21509
Bandung;2020;Perkotaan;Air isi ulang;526822,2393
Bandung;2020;Perdesaan;Air kemasan bermerk;3594,57382
Bandung;2020;Perkotaan;Air kemasan bermerk;99212,27258
Bandung;2020;Perdesaan;Leding;593,6520538
Bandung;2020;Perkotaan;Leding;26742,50403
Bandung;2020;Perdesaan;Mata air tak terlindung;600,0736265
Bandung;2020;Perkotaan;Mata air tak terlindung;14888,97873
Bandung;2020;Perdesaan;Mata air terlindung;16982,15397
Bandung;2020;Perkotaan;Mata air terlindung;63498,89197
Bandung;2020;Perdesaan;Sumur bor/pompa;5572,936264
Bandung;2020;Perkotaan;Sumur bor/pompa;154771,6128
Bandung;2020;Perkotaan;Sumur tak terlindung;11401,15155
Bandung;2020;Perdesaan;Sumur terlindung;3840,002461
Bandung;2020;Perkotaan;Sumur terlindung;105553,5156
Bandung;2021;Perdesaan;Air isi ulang;3976,655281
Bandung;2021;Perkotaan;Air isi ulang;587616,8979
Bandung;2021;Perkotaan;Air kemasan bermerk;58266,5918
Bandung;2021;Perdesaan;Leding;232,6992493
Bandung;2021;Perkotaan;Leding;32670,17981
Bandung;2021;Perdesaan;Mata air terlindung;8930,123813
Bandung;2021;Perkotaan;Mata air terlindung;130836,2695
Bandung;2021;Perdesaan;Sumur bor/pompa;1064,345734
Bandung;2021;Perkotaan;Sumur bor/pompa;151115,4734
Bandung;2021;Perdesaan;Sumur terlindung;5465,005789
Bandung;2021;Perkotaan;Sumur terlindung;104432,0878
Bandung;2022;Perdesaan;Air isi ulang;4067,261792
Bandung;2022;Perkotaan;Air isi ulang;541581,4861
Bandung;2022;Perdesaan;Air kemasan bermerk;88,61649562
Bandung;2022;Perkotaan;Air kemasan bermerk;61074,08945
Bandung;2022;Perkotaan;Air permukaan;1148,111861
Bandung;2022;Perkotaan;Lainnya;2211,967131
Bandung;2022;Perdesaan;Leding;262,8497514
Bandung;2022;Perkotaan;Leding;48059,89471
Bandung;2022;Perdesaan;Mata air tak terlindung;1454,325454
Bandung;2022;Perkotaan;Mata air tak terlindung;9884,406073
Bandung;2022;Perdesaan;Mata air terlindung;6458,014732
Bandung;2022;Perkotaan;Mata air terlindung;121480,3764
Bandung;2022;Perdesaan;Sumur bor/pompa;509,964016
Bandung;2022;Perkotaan;Sumur bor/pompa;90456,09043
Bandung;2022;Perdesaan;Sumur tak terlindung;285,8754846
Bandung;2022;Perkotaan;Sumur tak terlindung;9844,198882
Bandung;2022;Perdesaan;Sumur terlindung;5695,624693
Bandung;2022;Perkotaan;Sumur terlindung;131703,1748
Bandung;2023;Perdesaan;Air isi ulang;3055,139224
Bandung;2023;Perkotaan;Air isi ulang;565909,1155
Bandung;2023;Perdesaan;Air kemasan bermerk;8,452205057
Bandung;2023;Perkotaan;Air kemasan bermerk;51761,08004
Bandung;2023;Perkotaan;Leding;23806,22081
Bandung;2023;Perdesaan;Mata air tak terlindung;217,7183288
Bandung;2023;Perkotaan;Mata air tak terlindung;2708,084181
Bandung;2023;Perdesaan;Mata air terlindung;6049,431607
Bandung;2023;Perkotaan;Mata air terlindung;116636,7152
Bandung;2023;Perdesaan;Sumur bor/pompa;54,29927425
Bandung;2023;Perkotaan;Sumur bor/pompa;87807,84045
Bandung;2023;Perdesaan;Sumur tak terlindung;5,972467099
Bandung;2023;Perkotaan;Sumur tak terlindung;4868,745796
Bandung;2023;Perdesaan;Sumur terlindung;4007,325625
Bandung;2023;Perkotaan;Sumur terlindung;110035,6758
Bandung Barat;2019;Perdesaan;Air isi ulang;28402,09384
Bandung Barat;2019;Perkotaan;Air isi ulang;98642,57506
Bandung Barat;2019;Perdesaan;Air kemasan bermerk;4758,441673
Bandung Barat;2019;Perkotaan;Air kemasan bermerk;46698,48187
Bandung Barat;2019;Perdesaan;Air permukaan;800,7657166
Bandung Barat;2019;Perdesaan;Leding;6883,220444
Bandung Barat;2019;Perkotaan;Leding;36982,70975
