Periode,Jumlah_Pengunjung
1998-01,387305
1998-02,348520
1998-03,364912
1998-04,380825
1998-05,312397
1998-06,320716
1998-07,394754
1998-08,451480
1998-09,411236
1998-10,430988
1998-11,387109
1998-12,416174
1999-01,360051
1999-02,358857
1999-03,413740
1999-04,369520
1999-05,361200
1999-06,372293
1999-07,463168
1999-08,433760
1999-09,416529
1999-10,388256
1999-11,400483
1999-12,389663
2000-01,356090
2000-02,397548
2000-03,413502
2000-04,408239
2000-05,370474
2000-06,424277
2000-07,464278
2000-08,455967
2000-09,457683
2000-10,448696
2000-11,439905
2000-12,427558
2001-01,395511
2001-02,372743
2001-03,427878
2001-04,423268
2001-05,454259
2001-06,474527
2001-07,478515
2001-08,487169
2001-09,470667
2001-10,391119
2001-11,388739
2001-12,389225
2002-01,372678
2002-02,392683
2002-03,449151
2002-04,409802
2002-05,444173
2002-06,454029
2002-07,486749
2002-08,503447
2002-09,461135
2002-10,382004
2002-11,318442
2002-12,359107
2003-01,340972
2003-02,355345
2003-03,353877
2003-04,249491
2003-05,268959
2003-06,371642
2003-07,431512
2003-08,441144
2003-09,411791
2003-10,424965
2003-11,372261
2003-12,445062
2004-01,426465
2004-02,379614
2004-03,410128
2004-04,383693
2004-05,434792
2004-06,477017
2004-07,488096
2004-08,519615
2004-09,466500
2004-10,449865
2004-11,392821
2004-12,492559
2005-01,417237
2005-02,382614
2005-03,419390
2005-04,405952
2005-05,419747
2005-06,448593
2005-07,483681
2005-08,474235
2005-09,464957
2005-10,342605
2005-11,342119
2005-12,400971
2006-01,363808
2006-02,326796
2006-03,385802
2006-04,401374
2006-05,409058
2006-06,440139
2006-07,442457
2006-08,422939
2006-09,407433
2006-10,362634
2006-11,437370
2006-12,471541
2007-01,386453
2007-02,385434
2007-03,443099
2007-04,439365
2007-05,447017
2007-06,498089
2007-07,514640
2007-08,495952
2007-09,463934
2007-10,436298
2007-11,476782
2007-12,518696
2008-01,437966
2008-02,465449
2008-03,502041
2008-04,459129
2008-05,508955
2008-06,529064
2008-07,567364
2008-08,599506
2008-09,501018
2008-10,529391
2008-11,524162
2008-12,610452
2009-01,473165
2009-02,421555
2009-03,511314
2009-04,487121
2009-05,521735
2009-06,550582
2009-07,593415
2009-08,566797
2009-09,493799
2009-10,547159
2009-11,531669
2009-12,625419
2010-01,493799
2010-02,523135
2010-03,594242
2010-04,555915
2010-05,600031
2010-06,613422
2010-07,658476
2010-08,586530
2010-09,560367
2010-10,594654
2010-11,578152
2010-12,644221
2011-01,548821
2011-02,568057
2011-03,598068
2011-04,608093
2011-05,600191
2011-06,674402
2011-07,745451
2011-08,621084
2011-09,650071
2011-10,656006
2011-11,654948
2011-12,724539
2012-01,652692
2012-02,592502
2012-03,658602
2012-04,626100
2012-05,650883
2012-06,695531
2012-07,701200
2012-08,634194
2012-09,683584
2012-10,688341
2012-11,693867
2012-12,766966
2013-01,614328
2013-02,678415
2013-03,725316
2013-04,646117
2013-05,700708
2013-06,789594
2013-07,717784
2013-08,771009
2013-09,770878
2013-10,719903
2013-11,807422
2013-12,860655
2014-01,753079
2014-02,702666
2014-03,765607
2014-04,726332
2014-05,752363
2014-06,851475
2014-07,777210
2014-08,826821
2014-09,791296
2014-10,808767
2014-11,764461
2014-12,915334
2015-01,771066
2015-02,833000
2015-03,827069
2015-04,787282
2015-05,838030
2015-06,858359
2015-07,860703
2015-08,895420
2015-09,905806
2015-10,861505
2015-11,820669
2015-12,971866
2016-01,814303
2016-02,888309
2016-03,915019
2016-04,901095
2016-05,915206
2016-06,857651
2016-07,1032741
2016-08,1031986
2016-09,1006653
2016-10,1040651
2016-11,1002333
2016-12,1113328
2017-01,1107968
2017-02,1023388
2017-03,1059777
2017-04,1171386
2017-05,1148588
2017-06,1144001
2017-07,1370591
2017-08,1393243
2017-09,1250231
2017-10,1161565
2017-11,1062030
2017-12,1147031
2018-01,1097839
2018-02,1197503
2018-03,1363426
2018-04,1302321
2018-05,1242705
2018-06,1322674
2018-07,1547231
2018-08,1511021
2018-09,1370943
2018-10,1291605
2018-11,1157483
2018-12,1405554
2019-01,1201735
2019-02,1243996
2019-03,1311911
2019-04,1274231
2019-05,1249536
2019-06,1434103
2019-07,1468173
2019-08,1530268
2019-09,1388719
2019-10,1346434
2019-11,1280781
2019-12,1377067
2020-01,1290411
2020-02,872765
2020-03,486155
2020-04,158066
2020-05,161842
2020-06,156561
2020-07,155742
2020-08,161549
2020-09,148984
2020-10,152293
2020-11,144476
2020-12,164079
2021-01,126515
2021-02,105788
2021-03,119979
2021-04,112756
2021-05,139433
2021-06,126844
2021-07,127249
2021-08,118533
2021-09,120100
2021-10,146137
2021-11,150577
2021-12,163619
2022-01,136298
2022-02,117509
2022-03,158629
2022-04,230076
2022-05,354920
2022-06,483883
2022-07,645121
2022-08,670509
2022-09,700606
2022-10,734228
2022-11,704783
2022-12,952469
2023-01,798469
2023-02,749436
2023-03,869244
2023-04,865811
2023-05,953714
2023-06,1062791
2023-07,1121189
2023-08,1132638
2023-09,1070245
2023-10,978519
2023-11,931227
2023-12,1144542
2024-01,927746
2024-02,1062149
2024-03,1041861
2024-04,1066958
2024-05,1145499
2024-06,1197941
2024-07,1310756
2024-08,1339946
2024-09,1279258
2024-10,1193867
2024-11,1092067
2024-12,1228630
2025-01,1156012
2025-02,1022894
2025-03,984769
2025-04,1164539
2025-05,1306000
2025-06,1415965
2025-07,1481346
2025-08,1505220
