Tanggal;Kurs
12/31/2025 12:00:00 AM;16720
12/30/2025 12:00:00 AM;16782
12/29/2025 12:00:00 AM;16788
12/24/2025 12:00:00 AM;16767
12/23/2025 12:00:00 AM;16790
12/22/2025 12:00:00 AM;16773
12/19/2025 12:00:00 AM;16735
12/18/2025 12:00:00 AM;16722
12/17/2025 12:00:00 AM;16698
12/16/2025 12:00:00 AM;16693
12/15/2025 12:00:00 AM;16669
12/12/2025 00:00;16652
12/11/2025 00:00;16668
12/10/2025 00:00;16688
12/09/2025 00:00;16677
12/08/2025 00:00;16688
12/05/2025 00:00;16655
12/04/2025 00:00;16646
12/03/2025 00:00;16632
12/02/2025 00:00;16632
12/01/2025 00:00;16668
11/28/2025 12:00:00 AM;16661
11/27/2025 12:00:00 AM;16644
11/26/2025 12:00:00 AM;16673
11/25/2025 12:00:00 AM;16667
11/24/2025 12:00:00 AM;16709
11/21/2025 12:00:00 AM;16719
11/20/2025 12:00:00 AM;16742
11/19/2025 12:00:00 AM;16732
11/18/2025 12:00:00 AM;16760
11/17/2025 12:00:00 AM;16734
11/14/2025 12:00:00 AM;16710
11/13/2025 12:00:00 AM;16732
11/12/2025 00:00;16722
11/11/2025 00:00;16698
11/10/2025 00:00;16666
11/07/2025 00:00;16704
11/06/2025 00:00;16707
11/05/2025 00:00;16729
11/04/2025 00:00;16724
11/03/2025 00:00;16664
10/31/2025 12:00:00 AM;16625
10/30/2025 12:00:00 AM;16640
10/29/2025 12:00:00 AM;16631
10/28/2025 12:00:00 AM;16622
10/27/2025 12:00:00 AM;16628
10/24/2025 12:00:00 AM;16630
10/23/2025 12:00:00 AM;16645
10/22/2025 12:00:00 AM;16617
10/21/2025 12:00:00 AM;16589
10/20/2025 12:00:00 AM;16585
10/17/2025 12:00:00 AM;16590
10/16/2025 12:00:00 AM;16580
10/15/2025 12:00:00 AM;16577
10/14/2025 12:00:00 AM;16577
10/13/2025 12:00:00 AM;16580
10/10/2025 00:00;16585
10/09/2025 00:00;16534
10/08/2025 00:00;16606
10/07/2025 00:00;16560
10/06/2025 00:00;16598
10/03/2025 00:00;16611
10/02/2025 00:00;16612
10/01/2025 00:00;16680
9/30/2025 12:00:00 AM;16692
9/29/2025 12:00:00 AM;16680
9/26/2025 12:00:00 AM;16775
9/25/2025 12:00:00 AM;16752
9/24/2025 12:00:00 AM;16680
9/23/2025 12:00:00 AM;16636
9/22/2025 12:00:00 AM;16607
9/19/2025 12:00:00 AM;16578
9/18/2025 12:00:00 AM;16498
9/17/2025 12:00:00 AM;16430
9/16/2025 12:00:00 AM;16385
9/15/2025 12:00:00 AM;16405
09/12/2025 00:00;16391
09/11/2025 00:00;16468
09/10/2025 00:00;16457
09/09/2025 00:00;16462
09/08/2025 00:00;16348
09/04/2025 00:00;16438
09/03/2025 00:00;16424
09/02/2025 00:00;16418
09/01/2025 00:00;16463
8/29/2025 12:00:00 AM;16461
8/28/2025 12:00:00 AM;16356
8/27/2025 12:00:00 AM;16355
8/26/2025 12:00:00 AM;16277
8/25/2025 12:00:00 AM;16255
8/22/2025 12:00:00 AM;16340
8/21/2025 12:00:00 AM;16283
8/20/2025 12:00:00 AM;16291
8/19/2025 12:00:00 AM;16241
8/15/2025 12:00:00 AM;16162
8/14/2025 12:00:00 AM;16109
8/13/2025 12:00:00 AM;16237
08/12/2025 00:00;16298
08/11/2025 00:00;16253
08/08/2025 00:00;16299
08/07/2025 00:00;16312
08/06/2025 00:00;16379
08/05/2025 00:00;16388
08/04/2025 00:00;16388
08/01/2025 00:00;16494
7/31/2025 12:00:00 AM;16459
7/30/2025 12:00:00 AM;16387
7/29/2025 12:00:00 AM;16399
7/28/2025 12:00:00 AM;16341
7/25/2025 12:00:00 AM;16325
7/24/2025 12:00:00 AM;16283
7/23/2025 12:00:00 AM;16298
7/22/2025 12:00:00 AM;16307
7/21/2025 12:00:00 AM;16330
7/18/2025 12:00:00 AM;16301
7/17/2025 12:00:00 AM;16329
7/16/2025 12:00:00 AM;16288
7/15/2025 12:00:00 AM;16281
7/14/2025 12:00:00 AM;16247
07/11/2025 00:00;16221
07/10/2025 00:00;16220
07/09/2025 00:00;16254
07/08/2025 00:00;16238
07/07/2025 00:00;16237
07/04/2025 00:00;16204
07/03/2025 00:00;16209
07/02/2025 00:00;16236
07/01/2025 00:00;16192
6/30/2025 12:00:00 AM;16231
6/26/2025 12:00:00 AM;16233
6/25/2025 12:00:00 AM;16292
6/24/2025 12:00:00 AM;16370
6/23/2025 12:00:00 AM;16484
6/20/2025 12:00:00 AM;16399
6/19/2025 12:00:00 AM;16378
6/18/2025 12:00:00 AM;16319
6/17/2025 12:00:00 AM;16281
6/16/2025 12:00:00 AM;16296
6/13/2025 12:00:00 AM;16293
06/12/2025 00:00;16237
06/11/2025 00:00;16265
06/10/2025 00:00;16276
06/05/2025 00:00;16277
06/04/2025 00:00;16305
06/03/2025 00:00;16288
06/02/2025 00:00;16297
5/28/2025 12:00:00 AM;16300
5/27/2025 12:00:00 AM;16255
5/26/2025 12:00:00 AM;16207
5/23/2025 12:00:00 AM;16289
5/22/2025 12:00:00 AM;16313
5/21/2025 12:00:00 AM;16413
5/20/2025 12:00:00 AM;16406
5/19/2025 12:00:00 AM;16455
5/16/2025 12:00:00 AM;16424
5/15/2025 12:00:00 AM;16535
5/14/2025 12:00:00 AM;16568
05/09/2025 00:00;16532
05/08/2025 00:00;16497
05/07/2025 00:00;16533
05/06/2025 00:00;16472
05/05/2025 00:00;16421
05/02/2025 00:00;16493
4/30/2025 12:00:00 AM;16679
4/29/2025 12:00:00 AM;16787
4/28/2025 12:00:00 AM;16862
4/25/2025 12:00:00 AM;16829
4/24/2025 12:00:00 AM;16884
4/23/2025 12:00:00 AM;16880
4/22/2025 12:00:00 AM;16862
4/21/2025 12:00:00 AM;16808
4/17/2025 12:00:00 AM;16833
4/16/2025 12:00:00 AM;16845
4/15/2025 12:00:00 AM;16815
4/14/2025 12:00:00 AM;16773
04/11/2025 00:00;16805
04/10/2025 00:00;16779
04/09/2025 00:00;16943
04/08/2025 00:00;16849
3/27/2025 12:00:00 AM;16566
3/26/2025 12:00:00 AM;16588
3/25/2025 12:00:00 AM;16622
3/24/2025 12:00:00 AM;16561
3/21/2025 12:00:00 AM;16501
3/20/2025 12:00:00 AM;16481
3/19/2025 12:00:00 AM;16528
3/18/2025 12:00:00 AM;16432
3/17/2025 12:00:00 AM;16379
3/14/2025 12:00:00 AM;16392
3/13/2025 12:00:00 AM;16428
03/12/2025 00:00;16453
03/11/2025 00:00;16430
03/10/2025 00:00;16326
03/07/2025 00:00;16336
03/06/2025 00:00;16315
03/05/2025 00:00;16371
03/04/2025 00:00;16443
03/03/2025 00:00;16506
2/28/2025 12:00:00 AM;16575
2/27/2025 12:00:00 AM;16431
2/26/2025 12:00:00 AM;16387
2/25/2025 12:00:00 AM;16316
2/24/2025 12:00:00 AM;16303
2/21/2025 12:00:00 AM;16300
2/20/2025 12:00:00 AM;16344
2/19/2025 12:00:00 AM;16357
2/18/2025 12:00:00 AM;16275
2/17/2025 12:00:00 AM;16208
2/14/2025 12:00:00 AM;16285
2/13/2025 12:00:00 AM;16365
02/12/2025 00:00;16364
02/11/2025 00:00;16380
02/10/2025 00:00;16350
02/07/2025 00:00;16325
02/06/2025 00:00;16330
02/05/2025 00:00;16308
02/04/2025 00:00;16365
02/03/2025 00:00;16453
1/31/2025 12:00:00 AM;16312
1/30/2025 12:00:00 AM;16259
1/24/2025 12:00:00 AM;16200
1/23/2025 12:00:00 AM;16276
1/22/2025 12:00:00 AM;16327
1/21/2025 12:00:00 AM;16331
1/20/2025 12:00:00 AM;16372
1/17/2025 12:00:00 AM;16373
1/16/2025 12:00:00 AM;16378
1/15/2025 12:00:00 AM;16311
1/14/2025 12:00:00 AM;16265
1/13/2025 12:00:00 AM;16281
01/10/2025 00:00;16194
01/09/2025 00:00;16238
01/08/2025 00:00;16201
01/07/2025 00:00;16169
01/06/2025 00:00;16193
01/03/2025 00:00;16217
01/02/2025 00:00;16236
12/31/2024 12:00:00 AM;16157
12/30/2024 12:00:00 AM;16162
12/27/2024 12:00:00 AM;16251
12/24/2024 12:00:00 AM;16208
12/23/2024 12:00:00 AM;16159
12/20/2024 12:00:00 AM;16270
12/19/2024 12:00:00 AM;16277
12/18/2024 12:00:00 AM;16100
12/17/2024 12:00:00 AM;16050
12/16/2024 12:00:00 AM;16019
12/13/2024 12:00:00 AM;15987
12/12/2024 00:00;15939
12/11/2024 00:00;15905
12/10/2024 00:00;15874
12/09/2024 00:00;15861
12/06/2024 00:00;15848
12/05/2024 00:00;15892
12/04/2024 00:00;15957
12/03/2024 00:00;15950
12/02/2024 00:00;15905
11/29/2024 12:00:00 AM;15856
11/28/2024 12:00:00 AM;15864
11/26/2024 12:00:00 AM;15930
11/25/2024 12:00:00 AM;15864
11/22/2024 12:00:00 AM;15911
11/21/2024 12:00:00 AM;15942
11/20/2024 12:00:00 AM;15858
11/19/2024 12:00:00 AM;15816
11/18/2024 12:00:00 AM;15848
11/15/2024 12:00:00 AM;15888
11/14/2024 12:00:00 AM;15873
11/13/2024 12:00:00 AM;15782
11/12/2024 00:00;15771
11/11/2024 00:00;15677
11/08/2024 00:00;15671
11/07/2024 00:00;15767
11/06/2024 00:00;15840
11/05/2024 00:00;15766
11/04/2024 00:00;15751
11/01/2024 00:00;15723
10/31/2024 12:00:00 AM;15705
10/30/2024 12:00:00 AM;15732
10/29/2024 12:00:00 AM;15760
10/28/2024 12:00:00 AM;15729
10/25/2024 12:00:00 AM;15629
10/24/2024 12:00:00 AM;15593
10/23/2024 12:00:00 AM;15620
10/22/2024 12:00:00 AM;15560
10/21/2024 12:00:00 AM;15465
10/18/2024 12:00:00 AM;15466
10/17/2024 12:00:00 AM;15516
10/16/2024 12:00:00 AM;15536
10/15/2024 12:00:00 AM;15555
10/14/2024 12:00:00 AM;15581
10/11/2024 00:00;15609
10/10/2024 00:00;15658
10/09/2024 00:00;15607
10/08/2024 00:00;15671
10/07/2024 00:00;15680
10/04/2024 00:00;15495
10/03/2024 00:00;15394
10/02/2024 00:00;15247
10/01/2024 00:00;15204
9/30/2024 12:00:00 AM;15144
9/27/2024 12:00:00 AM;15138
9/26/2024 12:00:00 AM;15171
9/25/2024 12:00:00 AM;15092
9/24/2024 12:00:00 AM;15186
9/23/2024 12:00:00 AM;15191
9/20/2024 12:00:00 AM;15100
9/19/2024 12:00:00 AM;15287
9/18/2024 12:00:00 AM;15350
9/17/2024 12:00:00 AM;15338
9/13/2024 12:00:00 AM;15405
09/12/2024 00:00;15421
09/11/2024 00:00;15415
09/10/2024 00:00;15447
09/09/2024 00:00;15446
09/06/2024 00:00;15372
09/05/2024 00:00;15410
09/04/2024 00:00;15490
09/03/2024 00:00;15557
09/02/2024 00:00;15536
8/30/2024 12:00:00 AM;15473
8/29/2024 12:00:00 AM;15409
8/28/2024 12:00:00 AM;15476
8/27/2024 12:00:00 AM;15509
8/26/2024 12:00:00 AM;15380
8/23/2024 12:00:00 AM;15554
8/22/2024 12:00:00 AM;15579
8/21/2024 12:00:00 AM;15456
8/20/2024 12:00:00 AM;15480
8/19/2024 12:00:00 AM;15591
8/16/2024 12:00:00 AM;15716
8/15/2024 12:00:00 AM;15687
8/14/2024 12:00:00 AM;15691
8/13/2024 12:00:00 AM;15885
08/12/2024 00:00;15963
08/09/2024 00:00;15914
08/08/2024 00:00;15952
08/07/2024 00:00;16100
08/06/2024 00:00;16183
08/05/2024 00:00;16154
08/02/2024 00:00;16234
08/01/2024 00:00;16243
7/31/2024 12:00:00 AM;16294
7/30/2024 12:00:00 AM;16320
7/29/2024 12:00:00 AM;16286
7/26/2024 12:00:00 AM;16294
7/25/2024 12:00:00 AM;16268
7/24/2024 12:00:00 AM;16224
7/23/2024 12:00:00 AM;16204
7/22/2024 12:00:00 AM;16228
7/19/2024 12:00:00 AM;16199
7/18/2024 12:00:00 AM;16160
7/17/2024 12:00:00 AM;16129
7/16/2024 12:00:00 AM;16203
7/15/2024 12:00:00 AM;16174
07/12/2024 00:00;16154
07/11/2024 00:00;16200
07/10/2024 00:00;16256
07/09/2024 00:00;16281
07/08/2024 00:00;16265
07/05/2024 00:00;16312
07/04/2024 00:00;16341
07/03/2024 00:00;16387
07/02/2024 00:00;16384
07/01/2024 00:00;16355
6/28/2024 12:00:00 AM;16394
6/27/2024 12:00:00 AM;16421
6/26/2024 12:00:00 AM;16435
6/25/2024 12:00:00 AM;16379
6/24/2024 12:00:00 AM;16431
6/21/2024 12:00:00 AM;16458
6/20/2024 12:00:00 AM;16420
6/19/2024 12:00:00 AM;16368
6/14/2024 12:00:00 AM;16374
6/13/2024 12:00:00 AM;16286
06/12/2024 00:00;16297
06/11/2024 00:00;16295
06/10/2024 00:00;16290
06/07/2024 00:00;16218
06/06/2024 00:00;16279
06/05/2024 00:00;16282
06/04/2024 00:00;16220
06/03/2024 00:00;16225
5/31/2024 12:00:00 AM;16251
5/30/2024 12:00:00 AM;16253
5/29/2024 12:00:00 AM;16160
5/28/2024 12:00:00 AM;16095
5/27/2024 12:00:00 AM;16064
5/22/2024 12:00:00 AM;15995
5/21/2024 12:00:00 AM;16024
5/20/2024 12:00:00 AM;15980
5/17/2024 12:00:00 AM;15978
5/16/2024 12:00:00 AM;15944
5/15/2024 12:00:00 AM;16070
5/14/2024 12:00:00 AM;16131
5/13/2024 12:00:00 AM;16085
05/08/2024 00:00;16081
05/07/2024 00:00;16054
05/06/2024 00:00;16025
05/03/2024 00:00;16094
05/02/2024 00:00;16202
4/30/2024 12:00:00 AM;16276
4/29/2024 12:00:00 AM;16249
4/26/2024 12:00:00 AM;16222
4/25/2024 12:00:00 AM;16208
4/24/2024 12:00:00 AM;16161
4/23/2024 12:00:00 AM;16244
4/22/2024 12:00:00 AM;16224
4/19/2024 12:00:00 AM;16280
4/18/2024 12:00:00 AM;16177
4/17/2024 12:00:00 AM;16240
4/16/2024 12:00:00 AM;16176
04/05/2024 00:00;15873
04/04/2024 00:00;15907
04/03/2024 00:00;15923
04/02/2024 00:00;15934
04/01/2024 00:00;15909
3/28/2024 12:00:00 AM;15873
